"","vtitle","vpoint","vreview"
"1","미나리","6","겪어보지 않은 일이라도 영화는 공감을 이끌어 낼 수 있다. 하지만, 나에겐 넘 어려운 문제였다.할머니와 데이빗의 상황에서 눈물이 나는 코드도 있었지만 크게 감동적인 영화라고 보긴 어려웠다.그냥 짧은 시를 한 편 읽은 듯한 느낌이 든다."
"2","미나리","10","너무 재밌다 근데 슬프다 ㅜㅜ"
"3","미나리","8","방금 영화보고 집에오자마자 티비 켰는데 윤스테이에 나오시는 윤여정 배우님 보고 왜 눈물 나냐구요 ㅠㅠ여운남아요ㅠㅠ"
"4","극장판 귀멸의 칼날: 무한열차편","10","최고다 진짜눈물이 흐르네요"
"5","PMC: 더 벙커","10",""
"6","미나리","8","제목만 보면 몬스터에 대한 영화일것 같지만 전혀 그렇지 않아서 반전이었고 남주의 연기와 스토리, 연출 정말 너무 다 좋은 영화였습니다. 더군다나 암환자의 가족이라면 한번쯤은 생각을 해봤을 그런 생각들이나 마음들 그리고 숨기고 싶었던 내면들이 영화를 통해서 보여지니 공감이 되어 가슴이 더 뭉클해지네요...이 영화 일반인이 볼때에는 어떨지 모르지만 가족중에 아픈사람이 있는 분들이 보게된다면 마지막 스토리에서 큰 슬픔을 안겨줍니다..."
"7","극장판 귀멸의 칼날: 무한열차편","10","영화 진짜 좋았어요! 따뜻했고 슬펐고...할머니생각 엄마 아빠 생각 동생들하고 함께 자랄때 느꼈던 감정들까지 다 생각나서 미처 다 울지못하고 나온 기분이에요~많이 지쳐있던 마음이 풀어진다고 할까요? 다들 거리두기하고 마스크잘쓰고 극장에서 꼭 보셨으면 좋겠어요"
"8","세자매","8","가족들은 결국 서로를 구했다"
"9","그랜드파더","10","동석이 형님 트와이스 춤추는 장면때 진짜 숨넘어갈뻔 했어요 ㅎ"
"10","미나리","10","미국의 느낌에 한국의 정서가 스며든 듯한 영화였습니다."
"11","미나리","10",""
"12","미나리","9","기생충과 다른 잔잔한 물결"
"13","미나리","10","눈물이 적셔지는 영화입니다.."
"14","극장판 귀멸의 칼날: 무한열차편","4","스티븐연의 한국어 발음은 여전히 교포 티를 벗지 못했으며 한예리는 왜 덩달아 연기가 어색해졌는지...? 그 누구의 연기보다 막내 아들 데이빗의 연기가 가장 인상 깊었다.평생 한국에서 나고 자란 사람들에게는 그렇게 큰 감동과 울림을 전달하지는 못 할듯. 이로써 <미나리>는 철저한 미국 영화임이 밝혀졌다."
"15","PMC: 더 벙커","9","한번 보고 생각나서 다음날 바로 다시 한번 본 영화. 한예리 연기가 와 닿던데..."
"16","미나리","10","말이 필요없는 배우들의 연기..다시 한번 엄지 척!"
"17","극장판 귀멸의 칼날: 무한열차편","10","따뜻한 가족 이야기 윤여정 한예리 아카데미연기상 기원합니다 주제가도 좋아요먹먹하게 가슴으로 안아주는 할머니의  따뜻한사랑"
"18","세자매","10","유포터블 애니는 진리다"
"19","그랜드파더","9","마지막이 정말 재밌었어요 그 앞까지는 그닥!"
